09032023	12:07:24	b131c80c-5e56-4de2-8670-29bd1e622bcb	/new-page.html	GET
09032023	12:07:24	a2c99de2-c465-44e3-9382-f59c2bcb84b3	/css/style.css	GET
09032023	12:07:24	ebb63a85-bbb9-481f-b8e2-5bb0ff24b4d9	/img/img1.jpg	GET
09032023	12:07:24	a49f8a7c-535f-4f5a-8f82-d8b19de3cf76	/favicon.ico	GET
10032023	14:35:15	0efe54e9-c647-4cef-a90d-c37c080a4fe5	GET	undefined	/
10032023	14:35:15	3a3545eb-8026-496c-b861-de24ec3fb226	GET	undefined	/css/style.css
10032023	14:38:49	6dc485de-314f-4571-a0ac-ba6f11db177a	GET	undefined	/
10032023	14:38:49	79cdbadb-68b4-4395-acc3-4628816a1119	GET	undefined	/css/style.css
10032023	14:40:29	b846fb79-2ba4-443f-8642-9008d4717c33	OPTIONS	https://www.google.pl	/
10032023	14:40:29	86d91389-759b-425d-b72b-bfb2f6599e9e	GET	https://www.google.pl	/
10032023	14:43:15	c0d2b9b9-fe8e-43e8-a561-bfbf3ef95fa8	OPTIONS	https://www.google.pl	/
10032023	14:43:15	3271b25e-d4bd-404f-96d1-5ba7d4158c66	GET	https://www.google.pl	/
10032023	14:48:53	dc74b8db-0aca-4108-a967-550f40d17b85	OPTIONS	https://www.google.pl	/
10032023	14:48:53	511f3c2f-b07f-4385-8349-0dd8886e9d42	GET	https://www.google.pl	/
10032023	14:49:19	c0f12e57-d27b-4254-8181-622e327edebb	OPTIONS	https://www.google.pl	/
10032023	14:49:19	dea5cba9-3565-4c40-bf4b-ec6b54386b62	GET	https://www.google.pl	/
10032023	14:49:29	8ed026a4-faa7-4ed6-a4e7-e18e503439fe	OPTIONS	https://www.google.pl	/
10032023	14:49:29	96a3b5c3-06ab-4fab-895b-7789ca324d40	GET	https://www.google.pl	/
10032023	14:53:08	cb4eac7f-c951-47b0-b522-a496438b500c	GET	undefined	/
10032023	14:54:22	f10a15a6-35d2-427d-8e0b-738cdade148d	GET	undefined	/
10032023	14:54:22	382781c1-0256-4c03-b751-6d799177c54b	GET	undefined	/css/style.css
10032023	14:58:34	86eee810-c71a-4605-af43-472fdef597a0	GET	undefined	/
10032023	14:59:22	c8e8547b-39e9-4f5a-a980-191f6296f127	GET	undefined	/
10032023	14:59:22	b57d15db-ff64-4a5b-b0ec-662da014f41c	GET	undefined	/css/style.css
10032023	15:01:02	a957ae8f-26c9-405c-bd88-ee9ff44e9a9c	GET	undefined	/l
10032023	15:01:02	96146c04-920e-41e3-ad51-fe3ebce3cc5d	GET	undefined	/css/style.css
10032023	15:30:04	95a4db5a-2984-4a0d-ba21-8f44b9e76534	GET	undefined	/subdir
10032023	15:30:45	bf7b0b44-e47a-48f1-aaa2-9094145b2037	GET	undefined	/subdir/test
10032023	15:32:16	c52967fc-3251-4c5a-acc8-efa1451e2050	GET	undefined	/subdir/tes
10032023	15:32:16	89d747c3-7394-4685-9ea1-ba7b742e67d0	GET	undefined	/subdir/css/style.css
10032023	15:32:20	97b027dd-95a7-4017-a354-803ec5aaebdb	GET	undefined	/subdir
10032023	15:32:20	f74be03a-1f5b-4dd8-875e-ffd19f4c6023	GET	undefined	/subdir/
10032023	15:41:38	0d6d4af2-34d9-4cb7-9c80-13341cb528c0	GET	undefined	/
10032023	15:41:38	4a49efd0-e64e-4a11-8677-ab60be5691c7	GET	undefined	/css/style.css
